iter	Passed	Remaining
0	6	620
1	12	605
2	17	556
3	21	527
4	28	543
5	35	563
6	42	567
7	48	559
8	55	559
9	61	549
10	66	538
11	76	562
12	84	566
13	90	556
14	95	543
15	101	531
16	107	523
17	114	522
18	119	510
19	124	498
20	131	492
21	137	487
22	143	481
23	149	473
24	154	464
25	160	456
26	165	446
27	171	440
28	176	431
29	181	423
30	187	416
31	192	408
32	198	402
33	202	393
34	208	386
35	213	379
36	219	373
37	224	367
38	230	359
39	235	352
40	240	346
41	243	335
42	248	329
43	253	322
44	258	316
45	264	309
46	269	304
47	274	297
48	282	293
49	287	287
50	292	281
51	298	275
52	303	268
53	308	262
54	311	255
55	316	248
56	321	242
57	326	236
58	332	230
59	337	224
60	343	219
61	350	214
62	355	208
63	360	202
64	366	197
65	378	194
66	387	190
67	393	185
68	400	179
69	406	174
70	412	168
71	419	163
72	425	157
73	431	151
74	437	145
75	443	139
76	448	134
77	454	128
78	459	122
79	464	116
80	470	110
81	475	104
82	481	98
83	487	92
84	493	87
85	498	81
86	503	75
87	509	69
88	514	63
89	520	57
90	525	51
91	531	46
92	535	40
93	540	34
94	546	28
95	551	22
96	555	17
97	560	11
98	565	5
99	570	0
