iter	Passed	Remaining
0	202	202129
1	220	109947
2	244	81343
3	272	67899
4	287	57218
5	301	49884
6	316	44911
7	330	41005
8	342	37668
9	352	34914
10	362	32615
11	376	30978
12	393	29904
13	405	28570
14	419	27521
15	431	26561
16	444	25729
17	458	25032
18	472	24374
19	489	24007
20	503	23456
21	517	22999
22	529	22508
23	539	21956
24	552	21541
25	563	21105
26	575	20725
27	587	20386
28	598	20052
29	610	19748
30	621	19417
31	631	19095
32	642	18827
33	653	18567
34	663	18296
35	674	18061
36	685	17843
37	697	17649
38	708	17464
39	721	17309
40	734	17170
41	748	17073
42	773	17221
43	785	17065
44	852	18099
45	883	18315
46	918	18626
47	931	18479
48	946	18377
49	957	18194
50	1037	19313
51	1051	19177
52	1067	19080
53	1078	18889
54	1089	18714
55	1101	18561
56	1114	18440
57	1126	18289
58	1135	18114
59	1146	17962
60	1156	17800
61	1165	17632
62	1174	17470
63	1184	17328
64	1195	17193
65	1204	17042
66	1215	16927
67	1225	16799
68	1234	16661
69	1244	16536
70	1259	16486
71	1272	16402
72	1298	16494
73	1317	16487
74	1340	16537
75	1386	16855
76	1398	16767
77	1410	16668
78	1427	16641
79	1442	16586
80	1453	16486
81	1463	16387
82	1469	16236
83	1479	16135
84	1489	16034
85	1498	15928
86	1510	15851
87	1520	15755
88	1530	15667
89	1540	15574
90	1550	15484
91	1561	15406
92	1570	15316
93	1579	15221
94	1589	15143
95	1599	15065
96	1609	14978
97	1619	14908
98	1629	14831
99	1640	14760
100	1653	14716
101	1666	14669
102	1679	14626
103	1690	14565
104	1702	14515
105	1712	14446
106	1724	14391
107	1737	14346
108	1755	14349
109	1774	14358
110	1852	14837
111	1885	14946
112	1914	15024
113	1965	15279
114	2003	15414
115	2021	15402
116	2035	15359
117	2057	15376
118	2086	15446
119	2101	15413
120	2114	15357
121	2123	15279
122	2138	15245
123	2149	15185
124	2163	15144
125	2175	15091
126	2185	15024
127	2203	15010
128	2219	14988
129	2234	14953
130	2244	14892
131	2256	14836
132	2267	14781
133	2277	14720
134	2288	14662
135	2301	14620
136	2317	14598
137	2329	14549
138	2342	14507
139	2354	14461
140	2366	14414
141	2374	14346
142	2386	14300
143	2396	14243
144	2406	14191
145	2416	14132
146	2425	14073
147	2435	14018
148	2447	13977
149	2456	13918
150	2467	13876
151	2482	13848
152	2494	13807
153	2505	13763
154	2514	13710
155	2526	13667
156	2535	13615
157	2546	13570
158	2561	13547
159	2573	13509
160	2579	13444
161	2589	13396
162	2599	13348
163	2609	13302
164	2618	13253
165	2628	13207
166	2640	13170
167	2652	13136
168	2663	13096
169	2676	13068
170	2688	13034
171	2699	12996
172	2710	12957
173	2721	12917
174	2732	12881
175	2749	12871
176	2764	12852
177	2777	12824
178	2788	12789
179	2808	12793
180	2821	12766
181	2831	12726
182	2841	12687
183	2851	12647
184	2864	12617
185	2873	12575
186	2883	12536
187	2896	12508
188	2908	12479
189	2918	12442
190	2928	12404
191	2938	12367
192	2951	12339
193	2961	12302
194	2970	12264
195	2980	12226
196	2992	12195
197	3002	12161
198	3020	12156
199	3033	12132
200	3043	12098
201	3054	12064
202	3066	12038
203	3077	12006
204	3087	11972
205	3096	11936
206	3108	11908
207	3120	11882
208	3133	11857
209	3145	11831
210	3157	11805
211	3167	11772
212	3177	11741
213	3188	11711
214	3201	11690
215	3212	11660
216	3223	11630
217	3233	11597
218	3243	11568
219	3255	11543
220	3268	11520
221	3280	11495
222	3291	11468
223	3301	11438
224	3312	11409
225	3323	11381
226	3337	11363
227	3347	11335
228	3357	11304
229	3367	11273
230	3380	11252
231	3391	11228
232	3404	11207
233	3414	11178
234	3425	11150
235	3436	11125
236	3447	11097
237	3457	11068
238	3466	11037
239	3476	11008
240	3487	10982
241	3501	10967
242	3514	10949
243	3543	10977
244	3563	10981
245	3589	11002
246	3608	11001
247	3637	11031
248	3663	11049
249	3745	11236
250	3761	11225
251	3775	11205
252	3787	11182
253	3797	11152
254	3808	11126
255	3818	11098
256	3832	11079
257	3844	11057
258	3854	11026
259	3872	11020
260	3883	10994
261	3894	10970
262	3913	10966
263	3947	11004
264	4089	11342
265	4151	11455
266	4176	11467
267	4195	11460
268	4215	11455
269	4240	11465
270	4264	11470
271	4284	11468
272	4305	11465
273	4319	11446
274	4331	11418
275	4358	11431
276	4406	11500
277	4416	11469
278	4427	11442
279	4437	11411
280	4447	11380
281	4462	11362
282	4476	11342
283	4488	11315
284	4497	11283
285	4508	11254
286	4522	11236
287	4538	11219
288	4549	11192
289	4562	11170
290	4576	11150
291	4591	11132
292	4605	11111
293	4618	11090
294	4629	11064
295	4641	11038
296	4651	11010
297	4662	10982
298	4675	10960
299	4685	10933
300	4698	10911
301	4711	10889
302	4733	10888
303	4746	10868
304	4758	10842
305	4770	10820
306	4783	10797
307	4795	10774
308	4816	10771
309	4835	10763
310	4863	10774
311	4874	10749
312	4885	10722
313	4895	10694
314	4905	10667
315	4925	10660
316	4940	10645
317	4953	10624
318	4963	10596
319	4973	10569
320	4984	10542
321	4998	10525
322	5009	10499
323	5022	10479
324	5036	10460
325	5046	10432
326	5059	10413
327	5073	10395
328	5088	10377
329	5099	10352
330	5110	10328
331	5120	10303
332	5131	10279
333	5148	10266
334	5166	10255
335	5201	10278
336	5224	10278
337	5261	10304
338	5281	10297
339	5300	10288
340	5341	10322
341	5354	10301
342	5377	10300
343	5393	10284
344	5413	10277
345	5430	10264
346	5448	10253
347	5468	10244
348	5536	10327
349	5582	10367
350	5630	10409
351	5652	10405
352	5675	10402
353	5692	10388
354	5714	10382
355	5733	10372
356	5746	10350
357	5772	10351
358	5789	10336
359	5820	10347
360	5842	10341
361	5885	10372
362	5909	10369
363	5940	10380
364	5980	10403
365	6029	10444
366	6077	10483
367	6099	10474
368	6129	10481
369	6144	10462
370	6189	10494
371	6232	10521
372	6262	10527
373	6299	10544
374	6364	10607
375	6388	10602
376	6412	10596
377	6454	10620
378	6474	10608
379	6487	10584
380	6524	10600
381	6542	10583
382	6557	10563
383	6593	10577
384	6613	10564
385	6659	10593
386	6696	10607
387	6724	10606
388	6739	10585
389	6786	10615
390	6811	10609
391	6824	10584
392	6834	10555
393	6843	10526
394	6855	10499
395	6865	10472
396	6876	10444
397	6889	10421
398	6901	10395
399	6912	10369
400	6924	10343
401	6933	10314
402	6944	10286
403	6954	10259
404	6965	10233
405	6977	10208
406	6988	10182
407	6998	10154
408	7011	10131
409	7024	10108
410	7034	10080
411	7049	10061
412	7063	10039
413	7084	10027
414	7100	10009
